PairHMM TKF92 with independent site classes over emissions
  - Number of site classes for substitution model: 1
  - Loss function: joint
  - Normalizing losses by: desc_len

2: model init

3: main training loop
New best test loss at epoch 286: 5.5348124504089355
New best test loss at epoch 287: 5.534631252288818
New best test loss at epoch 288: 5.534451007843018
New best test loss at epoch 289: 5.53427267074585
New best test loss at epoch 290: 5.5340962409973145
New best test loss at epoch 291: 5.533920764923096
New best test loss at epoch 292: 5.53374719619751
New best test loss at epoch 293: 5.533576011657715
New best test loss at epoch 294: 5.533405780792236
New best test loss at epoch 295: 5.533236503601074
New best test loss at epoch 296: 5.533069133758545
New best test loss at epoch 297: 5.53290319442749
New best test loss at epoch 298: 5.532740592956543
New best test loss at epoch 299: 5.532577037811279
New best test loss at epoch 300: 5.5324177742004395
New best test loss at epoch 301: 5.5322585105896
New best test loss at epoch 302: 5.532099723815918
New best test loss at epoch 303: 5.5319437980651855
New best test loss at epoch 304: 5.531790256500244
New best test loss at epoch 305: 5.5316362380981445
New best test loss at epoch 306: 5.531483173370361
New best test loss at epoch 307: 5.5313334465026855
New best test loss at epoch 308: 5.53118371963501
New best test loss at epoch 309: 5.531036853790283
New best test loss at epoch 310: 5.530887126922607
New best test loss at epoch 311: 5.530744552612305
New best test loss at epoch 312: 5.530600547790527
New best test loss at epoch 313: 5.530458450317383
New best test loss at epoch 314: 5.530317306518555
New best test loss at epoch 315: 5.530177116394043
New best test loss at epoch 316: 5.5300397872924805
New best test loss at epoch 317: 5.529902458190918
New best test loss at epoch 318: 5.529765605926514
New best test loss at epoch 319: 5.529630184173584
New best test loss at epoch 320: 5.529498100280762
New best test loss at epoch 321: 5.529364585876465
New best test loss at epoch 322: 5.529234409332275
New best test loss at epoch 323: 5.5291032791137695
New best test loss at epoch 324: 5.528975486755371
New best test loss at epoch 325: 5.528848171234131
New best test loss at epoch 326: 5.528721809387207
New best test loss at epoch 327: 5.528595924377441
New best test loss at epoch 328: 5.528472423553467
New best test loss at epoch 329: 5.528347969055176
New best test loss at epoch 330: 5.52822732925415
New best test loss at epoch 331: 5.528107166290283
